Principal-area	name	name-cy	Start-date	End-date
BGW	Blaenau Gwent	Blaenau Gwent		
BGE	Bridgend	Pen-y-bont ar Ogwr		
CAY	Caerphilly	Caerffili		
CRF	Cardiff	Caerdydd		
CMN	Carmarthenshire	Sir Gaerfyrddin / Sir Gâr		
CGN	Ceredigion	Ceredigion		
CWY	Conwy	Conwy		
DEN	Denbighshire	Sir Ddinbych		
FLN	Flintshire	Sir y Fflint		
GWN	Gwynedd	Gwynedd		
AGY	Isle of Anglesey	Ynys Môn		
MTY	Merthyr Tydfil	Merthyr Tudful		
MON	Monmouthshire	Sir Fynwy		
NTL	Neath Port Talbot	Castell-nedd Port Talbot		
NWP	Newport	Casnewydd		
PEM	Pembrokeshire	Sir Penfro		
POW	Powys	Powys		
RCT	Rhondda Cynon Taf	Rhondda Cynon Taf		
SWA	Swansea	Abertawe		
TOF	Torfaen	Torfaen		
VGL	Vale of Glamorgan	Bro Morgannwg		
WRX	Wrexham	Wrecsam		
